Date,Close,High,Low,Open,Volume
2025-01-27,39.17967224121094,40.11535024466819,38.20933963677631,38.4073675468191,161821600
2025-01-28,40.917362213134766,41.17479585622188,38.61529574957346,39.397503928945824,101033400
2025-01-29,40.66487121582031,41.08073015670477,39.73414505603936,41.046075559720045,118481200
2025-01-30,41.1747932434082,41.87778870210202,40.03118768897897,41.323315113078415,115171000
2025-01-31,40.9520149230957,43.11545910360822,40.68467781931401,42.04116272925688,118146600
2025-02-03,39.96187973022461,40.590614273590695,38.28854788468591,38.877679868370194,153257000
2025-02-04,41.41242980957031,41.55599995111146,39.96683247532387,40.05594484672636,84634600
2025-02-05,41.95205307006836,41.99165940883066,40.47675283332212,40.76884108329027,79694800
2025-02-06,42.580787658691406,42.64019338451557,41.67976430536738,42.060964895321845,76431000
2025-02-07,40.956966400146484,43.164968639180856,40.76883819289749,42.70455537064908,110870400
2025-02-10,42.397613525390625,42.674850333349895,41.83323643657741,41.94710371245681,65594200
2025-02-11,42.095619201660156,42.57088389028841,41.590651650326386,41.6203545130319,62602800
2025-02-12,42.17978286743164,42.382762516047485,40.645073158378125,40.734185529978305,96986600
2025-02-13,43.95707321166992,44.04123383652776,42.367905925819805,42.56593381383128,92920200
2025-02-14,44.471946716308594,44.64521971168464,43.863011587337894,43.966975384563526,76057400
2025-02-18,44.74918746948242,44.927412216805465,43.93727641037449,44.868002708675,68825200
2025-02-19,44.75413513183594,45.110584594032126,44.02143303986954,44.55610723316383,68515800
2025-02-20,44.20956802368164,44.66998135345368,43.01645248956913,44.580868974237525,80266000
2025-02-21,41.44213104248047,44.4521446056968,41.323315810978485,44.44224113311524,118627200
2025-02-24,39.95197296142578,42.105521075450575,39.852960904787615,41.83323225409383,106467400
2025-02-25,38.42716979980469,39.79355441469551,37.51624294614267,39.76880328719762,151194400
2025-02-26,38.674705505371094,39.82821083576321,37.96675826099285,38.90243628493125,126351400
2025-02-27,35.4666633605957,39.68959186072253,35.387454462219466,39.466812820904345,206751000
2025-02-28,37.090484619140625,37.214251588993925,34.69435789577346,35.37755020961913,186358000
2025-03-03,34.694358825683594,38.14498264201131,33.88244778384981,37.8083363239045,183891600
2025-03-04,34.31315231323242,36.026086662837436,32.67943063455547,34.040867255320286,261673800
2025-03-05,35.649837493896484,35.98648378824675,33.41212866172473,34.43197101708853,201266600
2025-03-06,32.69428253173828,34.902284774887235,32.26357212583559,33.85769126882091,245645400
2025-03-07,33.37252426147461,33.66956420431189,31.134815552826968,32.456645753546944,270354600
2025-03-10,29.61001205444336,31.77841000541352,28.654530847468262,31.68434589487623,312271600
2025-03-11,29.26346206665039,30.619946971424373,28.402043142814275,29.407032202045418,278978600
2025-03-12,30.263498306274414,31.020951515121226,29.2882140339958,30.664502057530264,283837200
2025-03-13,28.609973907470703,30.124880447033824,28.238672988788114,30.100127430161812,242454600
2025-03-14,30.639751434326172,30.808074592601535,29.456539478449702,29.560503282184275,198217000
2025-03-17,31.23383331298828,31.82296342329767,30.273402284497166,30.63480161823662,180300800
2025-03-18,29.659517288208008,30.58529371602355,29.21395543068495,30.58034386806624,175652400
2025-03-19,30.813026428222656,31.639788901344474,29.674368765825367,30.04071983685073,185186400
2025-03-20,30.49618148803711,31.501170596172223,29.887248205579315,30.030818347960636,176818200
2025-03-21,30.783321380615234,30.902136615977394,29.243659949085895,29.47139072397513,160982000
2025-03-24,32.73883819580078,32.93686610715301,32.09030046876378,32.209115704747816,126823000
2025-03-25,33.32301712036133,33.35272376096703,32.7190337146427,32.91211365884143,111139400
2025-03-26,31.4699764251709,33.26244269433503,31.162127395671693,33.08865847938055,157006400
2025-03-27,30.93372344970703,31.892025447011598,30.660633168725777,31.08268161259628,144736000
2025-03-28,28.47093963623047,30.69042227644409,28.287224651453204,30.556359375950755,207264200
2025-03-31,28.451082229614258,28.61493754124204,26.335871685849206,27.170039704431282,213709000
2025-04-01,29.10649871826172,29.290215618046332,27.616913291004227,28.14323415717997,194196400
2025-04-02,29.7569522857666,30.387543689606648,27.850282825796217,27.89993491670091,246174800
2025-04-03,24.97538185119629,26.728128651553284,24.8810421230604,26.032988030650035,280231400
2025-04-04,20.402353286743164,23.22759937465024,20.3725608990326,22.835343354042195,516053400
2025-04-07,20.481801986694336,23.25243211006534,17.37849865537701,18.247423588145864,791455200
2025-04-08,19.314956665039062,23.242496466588687,18.421203976661637,22.537425111769345,502295400
2025-04-09,26.12236213684082,26.519584519225287,19.230546699573893,19.24544194700527,713864000
2025-04-10,22.909822463989258,24.498713888639355,20.640687590693247,24.171005186201363,563385400
2025-04-11,24.121353149414062,24.364651030619324,22.155099036543284,22.67645353323172,358585800
2025-04-14,24.6278133392334,25.844308567597846,23.868125325020287,25.769830427558766,294861400
2025-04-15,24.722152709960938,25.42722222060606,24.424234494702027,24.80656163978221,209340200
2025-04-16,22.487773895263672,23.83832998767905,21.430167769227502,23.25242816081492,269148800
2025-04-17,22.42322540283203,22.984303098611537,22.021036664318366,22.88499702679394,202191600
2025-04-21,20.78468132019043,21.668501359334545,19.980305757664826,21.534438449895987,229539400
2025-04-22,22.373573303222656,22.830378581615953,21.4003760728049,21.5791266231695,260222800
2025-04-23,23.858192443847656,25.238542869134477,23.64965139702424,24.449062531392233,303995400
2025-04-24,25.888994216918945,25.958507899914885,24.101492476058905,24.20079854924131,240615400
2025-04-25,26.743022918701172,26.847293439780206,25.561284664154883,25.83934128113805,226103200
2025-04-28,26.723161697387695,27.130314885066056,25.640729497724017,26.822467768698317,191356800
2025-04-29,27.244516372680664,27.393474533515224,26.231599742542194,26.33587026571581,169808000
2025-04-30,27.249483108520508,27.51760704422262,24.985312591429967,25.799618983493303,268446600
2025-05-01,28.18792152404785,29.24056135214672,28.1184078411695,28.580179470696596,205481600
