Date,Close,High,Low,Open,Volume
2025-02-03,138.11399841308594,143.6906064645099,136.06923078192568,141.73878797369247,17833660
2025-02-04,133.1415252685547,138.20694171810396,132.67680790287037,137.88164807135405,9443660
2025-02-05,131.46853637695312,136.1621844804358,131.32912684381972,135.2327497740847,7320820
2025-02-06,129.37730407714844,132.30503181610194,129.23789454855202,131.09676390075833,7532540
2025-02-07,134.44271850585938,135.04685954682753,127.75079175992194,129.19141832586445,12007940
2025-02-10,129.70262145996094,131.56149094937047,128.81966128890113,131.18970854225935,8818200
2025-02-11,130.58555603027344,132.21206651463626,129.19140418653384,132.1191173855686,8298760
2025-02-12,130.39968872070312,135.18627166017276,129.79554766817589,134.90743841916387,12786500
2025-02-13,124.86954498291016,129.84201161554293,124.68364671608182,129.28435936119772,12631720
2025-02-14,123.56832885742188,125.28778856283617,123.05713698429491,124.96248077574265,8149820
2025-02-18,122.73184204101562,125.05542854621453,122.26712473997584,122.49948339049574,6892020
2025-02-19,122.68535614013672,124.77658380161633,121.80239618614327,123.33595746507689,7446780
2025-02-20,124.35835266113281,127.56489920361211,123.05713570829792,123.38244349201828,10758900
2025-02-21,132.1656036376953,132.49091143615368,123.70775688029667,123.75421726689314,14456060
2025-02-24,136.95220947265625,137.2310285385546,130.0279095738533,130.9108838893584,14006360
2025-02-25,142.15704345703125,145.31713014473527,137.50986966515674,137.55634423948527,14833580
2025-02-26,141.22760009765625,143.8764946705221,136.95220897873963,140.43758911037995,17710080
2025-02-27,152.9849395751953,153.26375860726606,137.55631966920873,138.39280512951376,20492780
2025-02-28,145.92124938964844,156.4238644432748,145.45653203490434,153.49613659915806,19880060
2025-03-03,155.35499572753906,158.65449156407576,141.8781933326531,143.22588491777947,22767900
2025-03-04,157.12094116210938,164.46346972633845,149.45310477531837,158.4221440882607,24871640
2025-03-05,151.07960510253906,161.3033862463559,149.4995690349041,156.65621299916643,19655320
2025-03-06,163.44110107421875,165.39290547566895,154.19321427083813,158.60802918785063,19368860
